gene	C100	C141	C142	C143	C144	C145	C146	C148	C149	C152	C51	C52
MMP23B	3	16	12	27	2	22	4	13	8	5	14	7
CDK11B	696	1796	1555	2828	103	1588	219	444	423	817	1116	739
FO704657.1	14	28	19	65	0	30	3	13	12	40	24	10
SLC35E2B	406	601	347	638	31	250	105	195	147	244	309	223
CDK11A	351	1190	1286	2525	61	968	212	367	425	549	713	415
SLC35E2A	136	100	263	198	19	245	52	53	102	100	118	84
NADK	744	5424	4207	14934	190	4691	1145	1588	1459	728	1038	676
GNB1	4419	4975	4646	16738	327	6902	904	2340	1512	2419	2812	1365
AL109917.1	3	8	10	20	1	1	0	5	3	4	0	0
CALML6	1	0	1	2	0	2	6	0	0	5	4	0
TMEM52	18	17	40	79	1	62	47	32	12	15	9	3
CFAP74	1	125	128	75	7	139	153	122	48	37	6	16
AL391845.2	0	0	0	0	0	0	1	0	0	0	0	0
GABRD	0	1	1	3	0	8	0	1	4	1	0	2
AL391845.1	0	1	0	1	0	0	0	1	3	1	0	0
PRKCZ	128	324	373	428	12	118	61	235	164	150	91	68
AL590822.2	10	4	3	20	1	12	8	5	5	12	2	3
PRKCZ-AS1	2	1	2	5	0	5	3	5	0	4	3	0
FAAP20	1750	3390	2940	7388	162	2687	341	1210	722	1386	2450	1300
AL590822.1	0	0	0	0	0	0	0	0	0	1	0	0
SKI	1608	1759	1595	1641	53	878	81	374	270	277	983	461
MORN1	52	128	105	128	3	107	127	95	50	68	37	19
RER1	3789	5952	5951	12540	288	5099	436	3003	2046	3338	4539	2319
PEX10	291	889	734	1017	33	366	47	320	102	152	381	222
PLCH2	5	42	32	70	4	47	22	103	38	47	3	2
AL139246.1	0	0	0	1	0	1	0	1	0	0	0	0
AL139246.4	0	1	1	0	0	0	0	2	1	1	0	0
PANK4	184	585	599	882	26	341	68	91	127	168	224	107
HES5	0	2	2	7	0	3	0	3	0	10	0	0
AL139246.5	101	239	174	2621	36	274	493	97	158	150	66	22
TNFRSF14-AS1	100	295	126	654	18	310	185	161	126	168	61	54
TNFRSF14	2143	6037	5108	17235	301	4571	1314	2000	1311	1521	1763	925
AL139246.3	1	12	5	53	2	16	36	5	13	9	4	3
FAM213B	73	278	241	598	18	234	105	177	52	133	87	44
MMEL1	36	140	46	136	1	54	5	43	12	18	49	27
AL831784.1	0	0	0	0	0	0	0	0	0	0	0	0
TTC34	70	31	45	42	1	27	34	8	14	6	39	15
AC242022.1	0	3	4	5	4	4	35	7	2	1	0	0
AL592464.2	0	0	0	0	0	0	0	0	0	0	0	0
AL592464.1	0	0	0	0	0	0	0	0	0	0	0	0
AL589702.1	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0
LINC00982	3	2	0	11	0	7	0	4	5	3	0	0
PRDM16	2	3	7	31	2	23	10	26	6	1	1	3
AL008733.1	0	0	0	0	0	0	0	1	0	0	0	0
AL590438.1	0	1	0	8	0	4	2	1	2	0	0	0
ARHGEF16	11	9	12	40	2	18	12	117	46	26	9	1
AL512413.1	0	0	0	2	0	0	1	3	0	0	0	0
MEGF6	49	19	36	83	2	17	13	20	26	5	10	3
AL513320.1	10	7	9	10	1	4	1	2	4	9	7	0
TPRG1L	438	536	557	1095	25	504	76	255	156	208	460	201
WRAP73	394	1027	1057	1728	50	583	99	306	193	335	492	252
TP73	4	83	104	106	4	158	75	143	43	130	7	4
AL136528.1	0	1	10	3	0	2	2	1	0	0	2	0
AL136528.2	0	0	0	0	0	0	0	0	0	0	0	0
CCDC27	0	0	1	1	0	0	1	0	0	0	0	1
SMIM1	13	50	29	232	2	87	10	43	32	31	5	2
LRRC47	496	1178	922	1704	59	561	89	375	247	523	418	178
AL365330.1	1	2	0	1	0	0	0	0	0	0	0	0
CEP104	501	1069	953	1285	44	582	77	302	184	304	461	251
DFFB	98	163	150	243	12	92	12	38	33	52	69	40
C1orf174	775	1932	1582	2656	79	1026	92	372	297	335	951	361
LINC01134	21	20	33	68	1	18	17	6	4	3	26	10
LINC01346	0	0	0	0	0	0	0	0	0	0	0	0
LINC01345	0	0	0	0	0	0	0	1	1	1	0	0
AL805961.1	0	0	0	0	0	0	0	0	0	0	0	0
AL805961.2	0	0	0	0	0	0	1	0	0	2	1	0
LINC01777	0	0	0	0	0	0	0	0	0	0	0	0
AL355602.1	0	0	0	0	0	0	0	0	1	0	0	0
Z98747.1	0	0	0	0	0	0	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0	1	0	0	0	0	0
AJAP1	1	0	1	10	0	4	4	2	2	4	0	1
BX005132.2	0	0	0	0	0	0	0	0	0	0	0	0
BX005132.1	0	0	0	0	0	0	0	0	0	0	0	0
AL691497.1	0	0	0	0	0	0	0	0	0	0	0	0
AL139823.1	0	0	0	0	0	0	0	0	0	0	0	0
Z98259.3	0	1	0	0	0	0	0	0	1	0	0	0
Z98259.2	0	0	0	0	0	0	0	0	0	0	0	0
Z98259.1	0	0	0	0	0	0	0	0	0	0	0	0
AL365255.1	0	2	0	1	1	0	0	0	0	0	0	0
NPHP4	90	185	199	235	10	151	40	101	32	69	76	41
KCNAB2	1717	4376	4198	6393	186	1809	328	875	581	1019	2026	1038
CHD5	1	0	0	0	0	0	0	0	1	0	0	1
RPL22	34681	45751	37403	91977	2053	32651	3119	15685	8048	22423	56633	40922
AL031847.1	0	0	1	1	0	2	4	4	10	13	2	1
RNF207	7	37	13	107	5	49	30	103	39	60	4	3
ICMT	442	950	849	1509	43	656	72	541	249	469	476	292
LINC00337	8	7	2	11	0	8	2	4	3	9	1	5
HES3	0	0	0	0	0	0	0	0	0	0	0	0
GPR153	216	157	161	165	9	112	9	81	40	25	183	162
ACOT7	2459	1961	2937	2538	194	701	44	328	108	728	4719	2835
AL031848.2	38	49	50	52	0	28	6	6	18	23	19	4
HES2	408	348	737	344	49	109	23	101	21	50	655	849
ESPN	16	70	85	90	6	90	66	108	35	16	7	9
AL031848.1	0	0	0	0	0	1	0	0	0	0	0	0
TNFRSF25	98	319	311	1624	22	163	26	159	358	128	54	3
PLEKHG5	1	10	8	36	3	16	11	61	33	16	0	0
NOL9	293	545	441	830	23	385	41	168	89	257	254	145
TAS1R1	0	0	0	3	0	2	0	2	0	0	0	0
ZBTB48	472	513	578	1137	34	389	124	191	157	261	322	187
KLHL21	178	326	367	1204	21	418	274	374	128	264	234	128
PHF13	142	188	259	934	16	185	45	81	56	86	119	50
THAP3	292	791	768	1617	34	389	174	161	184	287	391	196
DNAJC11	284	884	786	1245	25	493	61	292	146	268	311	237
LINC01672	0	0	0	0	0	0	0	0	1	0	0	0
AL591163.1	0	0	0	1	0	1	0	0	0	0	0	0
CAMTA1-DT	4	15	10	29	2	15	1	7	6	13	14	11
CAMTA1	2792	4882	3744	12687	224	5111	527	1954	1213	1859	4025	2041
AL512330.1	0	0	0	0	0	0	0	0	0	0	0	0
Z97987.1	0	0	0	0	0	1	0	0	0	0	0	0
AL365194.1	0	0	0	0	0	0	0	0	0	0	0	0
AL359881.3	1	0	0	1	0	0	0	0	0	0	0	2
AL359881.2	4	1	0	1	1	1	1	0	0	1	2	1
AL359881.1	7	2	5	2	0	0	0	0	0	1	6	1
VAMP3	2611	4315	3627	7905	167	4148	304	1147	655	821	2771	1412
PER3	590	458	363	607	13	289	163	94	61	58	107	70
Z98884.1	13	23	16	39	3	19	5	7	8	10	23	3
UTS2	2	353	201	683	35	190	0	167	0	127	196	29
TNFRSF9	14	170	90	259	11	70	36	32	14	56	15	4
PARK7	4789	10977	14544	25462	543	6086	672	4105	1659	6601	11582	5406
AL034417.4	16	8	10	8	0	10	10	4	5	5	10	5
AL034417.3	10	3	5	19	0	4	9	8	12	8	6	2
ERRFI1	147	225	223	1919	13	235	160	1292	1145	612	148	125
AL034417.2	0	1	0	11	0	2	17	7	8	11	0	0
LINC01714	0	0	0	2	0	0	1	0	1	0	0	0
AL358876.2	0	0	0	2	0	0	0	2	0	0	0	0
SLC45A1	16	53	80	13	4	2	1	3	8	7	23	13
RERE	479	2213	1642	5256	95	1815	362	906	561	527	419	197
AL096855.1	6	40	17	73	0	26	1	8	8	5	11	3
AL357552.2	0	0	0	0	0	0	0	1	0	0	1	0
ENO1	8797	15261	15063	48999	776	15604	1987	7580	4977	11464	13061	4799
ENO1-AS1	11	22	13	51	1	31	3	8	14	24	17	6
CA6	0	0	1	13	0	5	0	0	0	2	1	0
SLC2A7	0	0	1	2	0	1	0	0	1	2	0	0
SLC2A5	8	45	64	531	0	65	3	98	7	690	14	13
GPR157	203	323	301	527	17	192	49	145	67	41	318	141
MIR34AHG	349	412	353	369	17	287	64	81	47	54	207	174
LINC01759	52	174	124	109	10	95	44	51	31	28	84	70
H6PD	1019	934	993	1688	40	566	76	335	161	175	1238	544
SPSB1	52	384	406	3389	27	634	196	704	307	437	93	29
BX323043.1	0	1	0	0	0	1	0	0	0	2	0	0
AL928921.2	6	17	15	9	0	3	1	3	2	11	7	2
AL928921.1	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A33	347	659	612	2198	36	754	138	469	230	285	315	155
TMEM201	54	145	144	220	3	77	13	47	31	56	37	28
PIK3CD	533	1509	1185	2640	124	823	129	311	274	434	254	135
PIK3CD-AS1	12	126	77	52	5	23	2	7	5	8	9	3
PIK3CD-AS2	14	42	45	70	2	41	32	21	10	103	18	16
CLSTN1	461	1507	1424	2276	83	1211	159	741	513	702	448	195
CTNNBIP1	509	1624	1380	2910	71	1027	83	738	425	463	655	356
AL357140.1	1	13	3	7	0	3	2	0	1	0	0	1
LZIC	1037	1780	1668	3546	56	1322	123	453	303	591	999	707
NMNAT1	269	366	373	380	11	196	27	65	52	66	266	149
RBP7	1383	1994	1251	652	33	298	32	204	164	131	1405	2000
UBE4B	567	741	647	1703	29	588	84	289	169	357	341	230
KIF1B	730	1005	905	4671	85	2625	256	888	454	412	399	264
AL139424.3	13	0	0	7	0	1	2	3	2	0	7	5
AL139424.2	7	8	9	49	0	29	1	7	3	10	9	6
PGD	6305	11436	14333	27070	442	6607	1841	3982	4146	2628	6278	3420
AL139424.1	0	2	0	10	0	5	2	0	1	3	0	0
CENPS-CORT	0	12	11	32	2	18	8	9	5	28	15	17
CENPS	64	105	72	141	11	105	55	94	27	110	179	47
CORT	0	2	1	14	0	0	5	3	1	13	1	2
DFFA	661	1346	1209	2092	49	673	74	395	228	497	713	412
AL354956.1	0	2	2	2	0	0	0	1	0	1	0	0
PEX14	625	1670	1708	919	66	427	174	202	126	253	803	356
CASZ1	72	293	247	740	26	425	129	321	169	146	95	36
AL139423.1	2	13	12	15	2	6	4	4	2	4	0	0
C1orf127	17	22	15	7	1	10	5	7	2	9	8	2
TARDBP	1425	1052	944	3245	66	1957	175	543	276	611	1130	629
AL109811.4	0	0	2	0	0	0	1	1	1	0	3	1
MASP2	0	2	1	4	0	2	2	2	4	2	0	0
AL109811.3	16	34	32	42	1	29	7	10	4	26	23	5
SRM	1431	2877	2356	7487	145	1997	207	1556	689	5076	2050	939
EXOSC10	515	2072	1736	2516	97	1047	171	515	315	546	509	297
AL109811.1	10	52	85	17	15	55	6	30	6	10	4	6
AL109811.2	32	25	31	5	1	13	1	16	12	13	56	38
MTOR	227	964	758	1299	32	458	95	272	127	328	228	137
MTOR-AS1	0	1	0	0	0	0	0	0	0	0	0	0
ANGPTL7	0	1	0	0	0	0	0	0	0	0	0	0
UBIAD1	275	708	723	1289	32	531	63	263	165	293	239	144
AL031291.1	0	0	0	0	0	0	0	0	0	0	0	0
DISP3	2	2	1	4	0	1	5	4	0	1	0	1
LINC01647	0	0	0	0	0	0	0	0	0	0	0	0
AL031731.1	1	0	0	0	0	1	0	0	1	0	0	0
FBXO2	23	47	96	95	20	27	33	90	63	29	9	3
FBXO44	174	496	488	562	48	160	38	150	118	153	149	67
FBXO6	893	4871	4388	14237	212	2871	494	1472	1103	1161	1297	453
MAD2L2	613	1338	1120	5293	98	1087	175	666	337	1281	705	305
DRAXIN	9	28	10	85	3	15	3	8	2	16	8	6
AGTRAP	2471	5750	4962	13078	190	4620	873	2188	902	1351	2368	1048
C1orf167	0	3	2	59	0	18	7	48	31	25	0	0
AL953897.1	0	1	0	1	0	1	0	0	1	0	0	0
MTHFR	482	640	490	2895	36	1045	164	479	184	281	454	290
CLCN6	250	437	337	1417	17	650	146	221	126	154	169	97
NPPA-AS1	47	40	32	213	4	103	38	39	33	28	25	10
NPPA	1	0	0	6	0	1	1	1	1	3	2	0
NPPB	0	0	0	0	0	0	0	0	0	0	0	0
KIAA2013	1296	1342	1240	2093	54	1102	114	459	264	440	1166	567
PLOD1	716	1368	1313	2216	52	900	118	507	142	256	845	357
MFN2	535	1352	1080	1874	67	875	80	453	168	311	496	281
MIIP	1366	5573	4342	8286	150	2807	243	853	795	539	2247	729
TNFRSF8	3	31	14	46	2	37	7	11	2	21	4	3
TNFRSF1B	1411	3546	2344	14471	217	4936	1597	1747	969	1355	950	707
VPS13D	736	1286	1090	1565	45	639	117	320	208	277	457	360
AC243836.1	3	2	10	0	1	2	0	0	0	0	2	2
DHRS3	2751	3354	2566	2864	122	1256	306	764	639	341	2944	1360
AC254633.1	20	48	34	30	2	16	7	3	4	6	14	6
AADACL4	0	0	0	0	0	0	1	0	0	0	0	0
AADACL3	0	0	0	0	0	1	0	0	0	0	0	0
C1orf158	1	133	157	59	17	159	104	114	35	32	6	8
PRAMEF12	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0	0	0	0	0	0	0
LINC01784	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL1	0	0	1	0	0	0	0	0	2	0	0	0
PRAMEF2	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL2	0	0	0	0	0	0	0	0	0	0	0	0
AC245056.1	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL4	0	0	0	1	0	0	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF33	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0	0	0	0	0
AC243961.1	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0	0	0	0	0	0	0
LRRC38	0	0	0	0	0	2	0	0	0	2	0	0
AL354712.1	0	0	0	0	0	0	0	0	0	0	0	0
PDPN	18	0	0	115	0	291	42	5	84	73	6	1
AL359771.1	0	0	0	0	0	0	0	0	0	0	0	0
PRDM2	1711	1981	1636	2989	105	1683	249	434	384	630	1003	607
KAZN	499	331	327	200	15	159	63	204	102	92	250	158
AL357873.1	0	0	0	0	0	0	0	0	0	0	0	0
KAZN-AS1	0	0	1	1	0	0	0	0	0	0	0	0
TMEM51-AS1	20	17	17	36	2	36	9	13	5	6	10	2
TMEM51	679	1321	1338	6200	65	2226	212	811	497	304	551	202
C1orf195	0	0	0	1	0	0	0	0	0	0	0	0
FHAD1	298	664	817	845	42	593	146	271	89	81	328	183
AL031283.2	7	5	13	5	0	1	3	1	1	1	5	1
AL031283.3	0	1	1	1	0	0	0	2	0	0	2	0
AL031283.1	10	21	22	14	0	9	2	5	6	2	11	6
EFHD2	8683	6311	5852	17666	403	6706	846	2929	1311	2973	7366	2526
CTRC	0	7	5	12	0	10	3	3	4	8	4	2
CELA2A	22	1	5	2	0	0	0	1	1	0	163	34
CELA2B	16	38	171	1	1	0	0	1	0	0	248	43
CASP9	195	583	597	770	38	423	76	195	122	178	224	78
DNAJC16	622	508	1250	831	17	561	49	233	77	157	460	293
AL121992.3	0	1	0	0	0	1	0	0	0	0	0	1
AGMAT	6	38	39	317	2	19	9	16	19	72	18	5
AL121992.1	1	3	9	25	0	12	19	11	7	4	1	1
DDI2	1156	1379	1383	2611	80	1143	130	324	292	351	865	503
RSC1A1	0	0	0	0	0	0	0	0	0	0	0	0
AL121992.2	3	0	0	20	0	37	1	7	4	0	0	1
PLEKHM2	1149	1975	1592	6723	130	3322	582	875	864	539	877	405
AL450998.3	0	2	1	3	0	0	0	0	0	1	0	0
SLC25A34	53	119	89	427	6	304	36	55	110	56	38	29
SLC25A34-AS1	0	0	0	0	0	0	0	0	0	0	0	0
TMEM82	0	0	0	3	0	1	0	2	0	0	0	0
FBLIM1	8	78	43	130	8	40	13	160	119	87	22	7
UQCRHL	31	56	71	208	2	40	17	19	28	78	44	31
AL450998.2	163	423	382	1201	30	469	163	132	137	175	70	65
SPEN	1409	2514	2017	5385	106	2173	391	875	525	776	619	401
ZBTB17	271	709	605	2034	34	640	143	308	219	224	222	99
SRARP	1	0	9	0	0	2	0	3	0	6	0	0
AL355994.3	0	0	0	0	0	0	0	0	0	0	0	0
HSPB7	0	0	0	0	0	3	0	1	0	0	0	0
CLCNKA	5	5	8	3	3	8	4	5	1	9	0	0
CLCNKB	0	22	80	2	17	32	0	32	1	2	4	1
FAM131C	0	5	3	2	5	2	0	16	2	1	0	0
EPHA2	39	134	90	565	9	220	159	923	451	337	15	8
AL451042.2	2	16	24	8	1	6	13	20	12	12	7	4
AL451042.1	0	9	2	3	0	3	2	6	4	5	4	4
ARHGEF19-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF19	32	195	143	273	8	94	26	85	66	79	28	17
CPLANE2	31	103	85	118	8	56	13	46	23	28	39	15
FBXO42	734	1122	1018	1435	56	551	132	229	164	193	540	275
SZRD1	1104	5278	4157	10550	201	3031	479	1722	986	1412	1666	791
SPATA21	1	15	15	20	0	3	4	8	1	2	1	0
NECAP2	2211	5755	4762	8957	212	2905	492	984	874	850	2936	1319
LINC01772	144	45	27	94	1	43	16	8	4	8	116	64
AL137802.2	9	16	9	17	2	13	10	8	8	35	8	8
AL137802.1	1	1	1	3	0	1	0	0	1	0	6	8
LINC01783	0	2	2	7	0	0	3	1	0	1	0	0
NBPF1	378	1226	1089	310	33	208	59	155	63	60	338	389
AL137798.1	0	0	0	0	0	0	0	0	0	0	0	1
AL137798.2	0	0	0	0	0	0	0	0	0	0	0	0
AL021920.1	0	0	0	0	0	0	0	0	0	0	0	0
AL021920.3	0	0	0	1	0	0	3	0	0	7	0	0
CROCC	64	434	480	448	21	384	87	261	93	64	38	31
BX284668.1	0	0	0	0	0	0	1	0	0	0	0	0
BX284668.2	0	1	0	3	0	0	4	2	1	0	0	0
BX284668.5	1146	1883	1722	2530	66	915	324	446	154	239	1983	1313
BX284668.6	24	6	9	105	1	20	29	16	9	33	6	3
MFAP2	0	5	9	6	0	10	0	51	35	9	0	0
AL049569.1	0	1	0	0	0	1	0	0	0	0	0	0
ATP13A2	262	914	623	2877	43	1611	132	572	392	231	302	198
SDHB	1975	5882	6098	11942	235	4426	497	1697	1239	1601	3728	1917
PADI2	161	266	342	544	17	192	26	65	25	23	95	169
AL590644.1	0	0	0	3	0	1	0	2	4	2	0	0
AL590644.3	0	0	0	3	0	0	5	2	1	1	0	0
PADI1	35	2	70	75	1	29	8	19	70	43	0	0
PADI3	1	0	15	3	0	7	0	2	0	2	0	0
PADI4	43	20	17	203	0	26	13	50	6	11	9	0
PADI6	3	1	6	35	1	13	0	1	0	1	5	2
AC004824.1	0	0	0	0	0	0	0	0	0	1	0	0
RCC2	1194	1788	1865	3789	115	1378	425	844	348	980	902	327
ARHGEF10L	1090	1945	1854	3026	76	1549	238	475	212	179	1161	592
AL136529.1	0	0	0	0	0	0	0	0	0	0	0	0
ACTL8	0	0	0	0	0	0	0	0	0	3	0	0
AL357509.1	0	0	0	0	0	0	0	0	0	0	0	0
LINC01654	0	0	0	0	0	0	0	0	0	0	0	0
IGSF21	2	5	8	23	5	26	5	17	0	2	3	1
IGSF21-AS1	0	0	0	0	0	0	0	0	0	0	0	0
AL591896.1	0	0	0	0	0	0	0	0	0	0	0	0
KLHDC7A	0	24	30	10	2	20	8	23	7	4	3	4
PAX7	0	0	2	0	0	2	0	0	1	0	0	0
TAS1R2	0	0	0	0	0	0	0	0	0	0	0	0
AL080251.1	0	2	2	1	0	1	0	0	0	1	0	0
ALDH4A1	59	112	121	246	4	86	13	120	22	52	84	35
IFFO2	37	87	122	465	9	179	32	189	159	210	33	15
UBR4	1025	3081	2334	11607	173	3962	743	1268	1245	1336	752	418
AL035413.1	39	70	55	131	5	27	15	21	27	49	52	40
EMC1	709	705	836	1341	29	634	62	244	85	302	592	271
MRTO4	922	1040	1286	1479	49	432	75	358	192	703	781	323
AKR7A3	6	8	12	20	0	11	20	12	7	16	2	1
AKR7A2	1619	2224	2490	3478	97	1253	183	1052	274	609	1857	985
PQLC2	302	431	461	1437	24	665	126	285	160	167	274	149
CAPZB	4996	11882	10917	30954	645	9331	1095	4589	3173	4612	6789	2791
AL031727.2	0	3	2	0	0	0	0	1	0	1	0	0
MINOS1	7577	8849	7028	14836	482	8065	968	3798	1725	4376	15299	8113
NBL1	36	179	237	534	43	297	74	601	237	268	28	5
MINOS1-NBL1	0	0	0	0	0	0	0	0	0	0	0	0
HTR6	0	4	0	2	0	0	0	0	0	0	0	0
TMCO4	235	732	542	785	27	310	51	237	140	170	263	143
RNF186	0	0	1	0	0	0	0	0	0	0	0	0
AL391883.1	0	0	0	0	0	0	0	0	0	0	0	0
OTUD3	134	148	132	336	5	139	33	54	36	72	58	60
PLA2G2E	0	0	0	0	0	0	0	0	0	0	0	0
PLA2G2A	0	1	0	1	0	0	0	0	0	0	2	1
PLA2G5	0	0	0	0	0	0	0	0	0	0	0	0
PLA2G2D	0	45	63	18	3	25	0	7	0	6	10	14
PLA2G2F	0	0	0	5	0	4	1	0	0	1	0	0
Z98257.1	7	26	24	7	0	10	2	7	3	2	15	10
PLA2G2C	0	4	6	22	1	25	1	7	1	1	7	8
UBXN10-AS1	8	36	83	261	6	39	2	24	9	29	33	15
UBXN10	23	251	490	128	37	333	113	195	88	100	104	60
LINC01757	0	0	0	0	0	0	0	0	0	0	0	0
Z98257.2	0	0	0	0	0	0	0	0	0	0	0	0
VWA5B1	0	3	0	0	0	1	0	1	0	0	0	0
AL020998.1	0	2	2	0	0	1	0	0	0	0	0	0
LINC01141	0	0	0	1	0	0	0	0	0	0	0	0
AL139254.1	0	0	0	0	0	0	0	0	0	0	0	0
AL139254.2	0	0	0	0	0	0	0	0	0	0	0	0
