sample	Capillary Aerocyte	Capillary	IGSF21+ Dendritic	Myeloid Dendritic Type 1	Plasmacytoid Dendritic	Myeloid Dendritic Type 2	B	EREG+ Dendritic	Macrophage	CD8+ Naive T	CD4+ Naive T	CD4+ Memory/Effector T	Vein	Artery	Pericyte	Vascular Smooth Muscle	Club	Mucous	Alveolar Epithelial Type 2	Basal	Lymphatic	Proliferating Macrophage	CD8+ Memory/Effector T	Proliferating NK/T	Natural Killer T	Natural Killer	Basophil/Mast 1	Classical Monocyte	Nonclassical Monocyte	Airway Smooth Muscle	Ciliated	Alveolar Fibroblast	Myofibroblast	Adventitial Fibroblast	Alveolar Epithelial Type 1	Platelet/Megakaryocyte	TREM2+ Dendritic	Differentiating Basal	Proliferating Basal	Plasma	Bronchial Vessel 2	Bronchial Vessel 1
GTEX.11DZ1.0426.SM.5H11A	0.015577758	0.192793209	0	0	0	0	0	0	0	0	0	0	0	0	0.338153488	0.053847014	0	0	0.000633419	0	0.000306631	0.002690736	0	0	0	0	0	0	0	0	0	0.274934762	0	0.068056358	0.028767424	0.022979875	0	0	0	0.001259327	0	0
GTEX.11EI6.0826.SM.5985V	0.105810677	0.18372444	0.03162343	0	0	0	0	0	0	0	0	0	0	0.009366869	0.199871545	0.060793581	0	0	0	0	0.002959142	0	0	0	0	0	0	0	0	0	0	0.279438047	0	0.045540815	0.061328968	0.016552496	0.002373958	0	0	0.000222518	0.000393516	0
GTEX.11EMC.0126.SM.5EGKV	0.024732386	0.249538572	0.037272319	0	0	0	0	0	0	0	0	0	0.000346135	0	0.134851678	0.043855979	0	0	0.031750833	0	0.008739136	0.001917062	0	0	0	0	0	0	0	0	0	0.322803143	0	0.024388598	0.068044255	0.013914071	0.003837092	0	0	0.001060083	0.032948659	0
GTEX.11EQ9.0226.SM.5A5JX	0.015962241	0.212437171	0	0	0	0	0	0	0	0	0	0	0	0	0.329714411	0.062714476	0	0	0.027791251	0	0.000873448	0.004988162	0	0	0	0	0	0	0	0	0.002282215	0.127526548	0	0.000276295	0.177096325	0.032098784	0	0	0.006143021	9.57E-05	0	0
GTEX.11GSP.0726.SM.5986L	0.063305824	0.142013601	0	0	0	0	0	0	0	0	0	0	0	0	0.166585682	0.074600263	0	0	0.000205713	0	0.009168363	0.003126872	0	0	0	0	0	0	0	0	0	0.363380303	0	0.010334443	0.050616495	0.013082542	0.010951518	0	0	0	0.092628382	0
GTEX.11I78.0126.SM.5HL6F	0.001823298	0.191379856	0	0	0	0	0	0	0	0	0	0	0	0	0.339504051	0.066511892	0	0	0.056670851	0	0.000485969	0.014647819	0	0	0	0	0	0	0	0	0.019430644	0.16356737	0	0.010544634	0.085566094	0.028359793	0.019176934	0	0.002079907	0.000250889	0	0
GTEX.11LCK.0426.SM.5A5M8	0.051433388	0.126727768	0.000176879	0	0	0	0	0	2.26E-05	0	0	0	0	0.001821983	0.369077862	0.034661203	0	0	0.029101228	0	0.003403844	0.012297711	0	0.000276998	0	0	0	0	0.000172227	0	0.000163443	0.178675758	0	0.019680926	0.142250012	0.024213192	0.002301843	0	0.001910979	0.001630119	0	0
GTEX.11NSD.0326.SM.5A5LS	0.058827377	0.218612352	0.002811779	0	0	0	0	0	0	0	0	0	0	0	0.192971268	0.066566269	0	0.000595323	0.073890244	0	0	0.011385379	0	0	0	0	0	0	0	0	0.022638102	0.174021469	0	0	0.153458232	0.020331322	0.003886529	0	0	4.36E-06	0	0
GTEX.11NUK.0826.SM.5HL4U	0.085012332	0.123882726	0.024184791	0	0	0	0	0	0	0	0	0	0	0	0.17058216	0.128215561	0	0	0.031364963	0	0.001876679	0.012670233	0	0	0	0	0	0	0	0	0.007170752	0.268258788	0	0.0259482	0.085896085	0.007771277	0.027165454	0	0	0	0	0
GTEX.11NV4.1126.SM.5HL6J	0.088380544	0.240665457	0.020688268	0	0	0	0	0	0	0	0	0	0	0	0.151603045	0.051924155	0	0	0.000481912	0	0.000573504	0.003515646	0	0	0	0	0	0	0	0	0	0.225931333	0	0.004669398	0.069836029	0.018979455	0.010538795	0	0	0	0.112212457	0
GTEX.11O72.1326.SM.5BC5A	0.104692145	0.141818941	0.003830195	0	0	0	0	0	0	0	0	0	0	0	0.030214396	0.126887547	0	0	0	0	0.005165547	0	0	0	0	0	0	0	0	0	0	0.507549705	0	0.012864094	0.028019057	0.01137912	0.000469372	0	0	0	0.02710988	0
GTEX.11OF3.1126.SM.5986C	0.039578717	0.281430077	0	0	0	0	0	0	0	0	0	0	0	0	0.171543292	0.041663635	0	0	0	0	0.001974243	0.002906021	0	0	0	0	0	0	0	0	0	0.272669706	0	0.007149751	0.056389973	0.019216012	0.004017938	0	0	0	0.101460635	0
GTEX.11P7K.0326.SM.59871	0.00315905	0.29831656	0	0	0	0	0	0	0	0	0	0	0	0	0.286787815	0.017131356	0	0	0.086668233	0	0	0.005561137	0	0	0	0	0	0	0	0	0.001972269	0.153901308	0	0	0.110427425	0.026679976	0.009381355	0	0	1.35E-05	0	0
GTEX.11P81.0226.SM.5HL5M	0.022742692	0.199463497	0.005748365	0	0	0	0	0	0	0	0	0	0	0	0.218145796	0.017127159	0	0	0.008663775	0	0.004744018	0.012734321	0	0.001391581	0	0	0	0	0	0	0.02429629	0.334512491	0	0.037223803	0.083299064	0.024225572	0.000427037	0	0.00180366	0.003450879	0	0
GTEX.11PRG.0926.SM.5EGI8	0.124713489	0.15202143	0	0	0	0	0	0	0	0	0	0	0	0	0.257197886	0.13169254	0	0	0.000203435	0	0.016616636	0.00063604	0	0.004629419	0	0	0	0	0	0	0.00061494	0.212720163	0	0.012129442	0.056552576	0.019465212	0.010806793	0	0	0	0	0
GTEX.11TT1.1626.SM.5EQL7	0.041878559	0.195239082	0	0	0	0	0	0	0	0	0	0	0	0	0.361002344	0	0	0	0.015881498	0	0.000392518	0.014869262	0	0.006019485	0	0	0	0	0	0	0.003565192	0.1541689	0	0	0.147764776	0.034940824	0.004612391	0	0.010014395	0.000399863	0.009250911	0
GTEX.11TUW.0526.SM.5LU9A	0.021256084	0.287044333	0.009323753	0	0	0	0	0	0	0	0	0	0	0	0.249754274	0.057778313	0	0	0.001211038	0	0.006564394	0.006759857	0	5.87E-05	0	0	0	0	0	0	0.00020283	0.216041705	0	0.073538943	0.039557914	0.028331329	5.17E-05	0	0.000254915	0.002269917	0	0
GTEX.11UD2.0726.SM.5EQ69	0.076119832	0.178977859	0.029507863	0	0	0	0	0	0	0	0	0	0.001304557	0.0593855	0.286779677	0.002460683	0	0.000690712	0	0	0.005178808	0	0	0.013417698	0	0	0	0	0	0	0.04474443	0.162658879	0	0.040443187	0.060142527	0.029551804	0.003823081	0	0.002270297	0.001395331	0.001147275	0
GTEX.11WQC.0626.SM.5EQMF	0.134411953	0.264569425	0.001505376	0	0	0	0	0	0	0	0	0	0	0	0.274629873	0.00196021	0	0	0	0	0.001313711	0	0	0	0	0	0	0	0	0	0	0.263792208	0	0.036387834	0.003865308	0.00702981	0.003240859	0	0	0	0.007293435	0
GTEX.11WQK.1226.SM.5GU5Z	0	0.233250841	0	0	0	0	0	0	0.003573536	0	0	0	0.059140969	0.024870472	0.210296483	0	0	0	0.006887836	0.006997986	0.001657623	0	0	0.006489639	0	0	0	0	0	0	0.001254886	0.229828241	0	0.000738172	0.070539342	0.018748052	0	0.010529759	0.006818376	0.000242247	0.10813554	0
GTEX.11ZTS.1226.SM.5EQMQ	0.111412179	0.230620801	0.00997444	0	0	0	0	0	0	0	0	0	0	0	0.150496407	0.088237026	0	0	0.00505899	0	0.00432718	0.010122032	0	0	0	0	0	0	0	0	0	0.239729299	0	0.049877086	0.052720217	0.018238284	0.026739	0	0	0.002447059	0	0
GTEX.11ZTT.0626.SM.5EQLM	0.066326666	0.238648614	0	0	0	0	0	0	0	0	0	0	0	0	0.261091747	0.098125687	0	0.001657822	0.018861738	0	0	0.007603984	0	0	0	4.08E-05	0	0	0	0	0.043902942	0.161666214	0	0	0.06221361	0.039843118	1.70E-05	0	0	0	0	0
GTEX.11ZUS.0126.SM.5EQM5	0.077858859	0.085281556	0.027958869	0	0	0	0	0	0	0	0	0	0	0.055775583	0.230340139	0.058128247	0	0	1.26E-05	0	0.012784339	0	0	0	0	0	0	0	0	0	0.0289642	0.35838012	0	0.024030638	0.027019189	0.01089773	0	0	0	0.002526061	4.19E-05	0
GTEX.11ZVC.0226.SM.731E8	0.0135398	0.351867471	0.026867272	0	0	0	0	0	0	0	0	0	0	0	0.133635577	0.032748539	0	0	0.025655493	0	0	0.007912928	0	0.000196343	0	5.91E-05	0	0	0	0	0.005181489	0.301587827	0	0.000168016	0.08614758	0.011450183	0.002622589	0	0	0.000359782	0	0
GTEX.1211K.0826.SM.5FQUP	0.024300306	0.176868212	0	0	0	0	0	0	0	0	0	0	0	0.002489401	0.26851765	0.104496058	0	0	0.003954523	0	0.000794119	0.001046289	0	0	0	0	0	0	0	0	0.009976844	0.183152637	0	0	0.174476935	0.028341182	0	0	0.009867244	0.000953216	0.010765384	0
GTEX.1212Z.1026.SM.5EGJ8	0.071674592	0.241634554	0	0	0	0	0	0	0	0	0	0	0	0	0.21367511	0.087482517	0	0	0	0	0.006071365	0.006598636	0	0	0	0	0	0	0	0	0	0.326558662	0	0	0.021614635	0.020632879	0.00405705	0	0	0	0	0
GTEX.12584.1426.SM.5EGJ9	0	0.114088012	0.025523129	0	0	0	0	0	0	0	0	0	0.044205528	0	0.09971271	0.060052193	0	0	0.002643826	0	0.009720961	0	0	0	0	0	0	0	0	0	0	0.27395291	0	0.119956908	0.058914388	0.01790989	0.002145639	0	3.56E-06	0.001890325	0.169280026	0
GTEX.12696.1026.SM.5FQUV	0.014091625	0.159339764	0.031141556	0	0	0	0	0	0	0	0	0	0	0	0.200697751	0.149777433	0	4.66E-06	0.001266538	0	0.010428141	0.014087765	0	0	0	0	0	0	0	0	0.015299769	0.27443447	0	0.051019856	0.045852783	0.023091344	0.005294347	0	7.37E-05	0.004098483	0	0
GTEX.1269C.0926.SM.5FQSR	0.046501986	0.138876166	0.008988546	0	0	0	0	0	0	0	0	0	0	0	0.142436634	0.062498422	0	0	0	0	0.003027923	0	0	0	0	0	0	0	0	0	0.037897945	0.220448141	0	0.056642372	0.088095752	0.033698438	0	0	0	0.000417057	0.160470618	0
GTEX.12BJ1.1026.SM.5EGJA	0.013419938	0.279979447	0	0	0	0	0	0	0	0	0	0	0	0	0.238864573	0.005889662	0	0	0.040694913	0	0	0.004241253	0	0	0	0	0	0	0	0	0	0.215337698	0	0	0.166495683	0.035076831	0	0	0	0	0	0
GTEX.12KS4.0726.SM.5FQSX	0.016836854	0.168549052	0	0	0	0	0	0	0	0	0	0	0	0.004883115	0.27903215	0.094820281	0	0	0.005461055	0	0.005481703	0.008760951	0	0.005617079	0	0	0	0	0	0	0	0.258834028	0	0.039561021	0.060498575	0.028091405	0.002836431	0	0.002600033	7.53E-05	0.018061015	0
GTEX.12WSA.1026.SM.5EGHN	0.004680739	0.137689123	0.031950021	0	0	0	0	0	0	0	0	0	0	0.040157484	0.141239414	0.147476974	0	0	0.037961691	0	0.001159975	0	0	0	0	0	0	0	0	0	0	0.264572906	2.21E-05	0.006190361	0.169288076	0.013643392	0.000464311	0	0.003182303	0.000321106	0	0
GTEX.12WSD.0826.SM.5GCNE	0.123730169	0.180222051	0	0	0	0	0	0	0	0	0	0	0	0	0.195831438	0.068850051	0	0	0.000550215	0	0	0.004712734	0	0	0	0	0	0	0	0	0.011616013	0.331154507	0	0	0.055129681	0.025720856	0.001823798	0	0	0.000658487	0	0
GTEX.12WSE.0826.SM.5S2VL	0.126279465	0.167160348	0.010645348	0	0	0	0	0	0	0	0	0	0	0	0.191810343	0.030328971	0	0	0	0	0.001833362	0	0	0	0	0	0	0	0	0	0.007808209	0.448933315	0	0	0.009426385	0.005760749	0	0	4.98E-06	8.52E-06	0	0
GTEX.12WSG.5004.SM.7EPG9	0.027677318	0.36343755	0.002232104	0	0	0	0	0	0	0	0	0	0	0	0.232012312	0.023503362	0	0	0.003387334	0	0.003572634	0.009535866	0	0.005301152	0	0	0	0	0	0	0	0.181255906	0	0	0.084330888	0.053331912	0.009734239	0	8.20E-05	0.000605434	0	0
GTEX.12WSH.0126.SM.5GCO3	0.12948214	0.048778716	0.016882804	0	0	0	0	0	0	0	0	0	0	0	0.108325461	0.156252575	0	0.00041982	0	0	0.002903171	5.27E-06	0	0	0	0	0	0	0	0	0.029169051	0.179805733	0	0.138355626	0.030359013	0.036697099	0	0	0	0.000334469	0.122229054	0
GTEX.12WSI.0826.SM.5EGKD	0.113211825	0.154132718	0.021169096	0	0	0	0	0	0	0	0	0	0	0	0.193108329	0.044188138	0	0.000910348	0.026572693	0	0.007706202	0.0133323	0	0	0	0	0	0	0	0	0.029808012	0.269946931	0	0.038468586	0.05662864	0.025972394	0.004832911	0	0	1.09E-05	0	0
GTEX.12WSJ.0226.SM.5GCP7	0.007652434	0.259961134	0	0	0	0	0	0	0	0	0	0	0	0.001367473	0.296319314	0.038080779	0	0	0.040966676	0	0.00657932	0.013565932	0	0	0	0	5.14E-05	0	2.97E-05	0	0.002343435	0.173346839	0	0.026529584	0.099215268	0.028565207	0.000344779	0	0.004469869	0.000610827	0	0
GTEX.12WSK.0826.SM.5CVNP	0.012777515	0.15642866	0	0	0	0	0	0	0	0	0	0	0	0.00125181	0.395379089	0	0	0	0.023726068	0	0.00282451	0.008150641	0	0.00056297	0	0	0	0	0	0	0.002334798	0.340840115	0	0.030344334	0.00727146	0.010563616	0.007082791	0	2.02E-05	0.000441455	0	0
GTEX.12WSL.1026.SM.5CVNJ	0.069966388	0.144867341	0	0	0	0	0	0	0	0	0	0	0	0	0.241350036	0.240165811	0	0	0.003207918	0	0.001589227	0.007147003	0	0	0	0	0	0	0	0	0.000234293	0.091583187	0	0.091579323	0.084095885	0.016961403	0.007195628	0	0	5.66E-05	0	0
GTEX.12WSN.5004.SM.793CE	0.058816836	0.162766546	0.010547525	0	0	0	0	0	0	0	0	0	0	0	0.250769786	0	0	0	0.049028345	0	0.0080436	0.007458368	0	0	0	0	0	0	0	0	0.003911478	0.236374833	0	0	0.189614861	0.021153479	0	0	0	0.001514343	0	0
GTEX.12ZZW.0926.SM.5LZUD	0.01068011	0.168212066	0.029836809	0	0	0	0	0	0	0	0	0	0	0.04890321	0.289672729	0.132713873	0	0	0.002905013	0	0.001536661	0.001319231	0	0	0	0	0	0	0	0	0.013067343	0.229075754	0.007953094	0	0.039408229	0.022847855	0.000119034	0	0.001706826	4.22E-05	0	0
GTEX.12ZZY.0926.SM.5EQ6I	0.169838396	0.16851009	0.010994655	0	0	0	0	0	0	0	0	0	0	0	0.259700254	0	0	0	0	0	0.004773796	0	0	0	0	0	0	0	0	0	0.003031378	0.295920686	0	0	0.081615621	0.005480846	0	0	0	0.000134279	0	0
GTEX.13111.0426.SM.5DUXR	0.020922573	0.23449654	0	0	0	0	0	0	0	0	0	0	0	0	0.251309135	0.049053976	0	0	0.06500788	0	0.000871147	0.01405735	0	0	0	0.000110919	0	0	0	0	0.021462943	0.168402747	0	0.000210102	0.134671678	0.022205547	0.014213644	0	0	0.00300382	0	0
GTEX.13113.5004.SM.79ONL	0.047168145	0.401044725	0.000273933	0	0	0	0	0	0	0	0	0	0	0.001918388	0.241905895	0.077605011	0	0	0.03134755	0	0.001907909	0.004751317	0	0.000369195	0	0	1.53E-05	0	6.45E-05	0	0.001999141	0.091683404	0	0.002413365	0.065588168	0.026248369	0.000554363	0	0.00314124	0	0	0
GTEX.1313W.0926.SM.5EQ56	0.034244909	0.157631904	0.025274558	0	0	0	0	0	0.002106628	0	0	0	0.016058671	0	0.235019473	0.002321215	0	0	0.010720573	0	0.004278971	0.020374793	0	0	0	0	0	0	0	0	0.0058329	0.17671131	0	0.11003753	0.119005006	0.03189725	0.034379062	0	0.001686536	0.000206701	0.012212014	0
GTEX.131XE.0726.SM.5HL9K	0.013113889	0.291058278	0.002587846	0	0	0	0	0	0	0	0	0	0	0.001101239	0.307336127	0.013261531	0	0	0.003282732	0	0.014317534	0	0	0.003889031	0	0	0	0	0	0	0.003134097	0.270426922	0	0.020180089	0.014548357	0.037534734	0.003136192	0	0.001054848	3.66E-05	0	0
GTEX.131XF.1026.SM.5BC6A	0.03251143	0.248820305	0.007365753	0	0	0	0	0	0	0	0	0	0	0	0.296316811	0.108269303	0	0	0.038195259	0	0.000661186	0.002911452	0	0	0	0	0	0	0	0	0.00104191	0.153493986	0	0	0.093757174	0.013004441	0.00365099	0	0	0	0	0
GTEX.131XH.0426.SM.5DUWU	0.007338559	0.354789314	0.02345998	0	0	0	0	0	0	0	0	0	0	0	0.137363052	0.085194175	0	0.000645381	0.009574537	0	0	0.001041325	0	0	0	0	0	0	0	0	0.013498732	0.234271527	0	0.074471449	0.036660135	0.015558205	0.005022159	0	0	0.000409804	0.000701666	0
GTEX.131XW.1126.SM.5EGK4	0.057410656	0.19350002	0.005586752	0	0	0	0	0	0	0	0	0	0	0.005830963	0.202354834	0.082504992	0	0	0.000788567	0	0.007507041	0	0	0	0	0	0	0	0	0	0	0.33906615	0	0.076633146	0.018539175	0.01007336	0	0	0	5.62E-05	0.000148136	0
GTEX.131YS.0926.SM.5IJB9	0.127634599	0.282860441	0.010653052	0	0	0	0	0	0	0	0	0	0	0	0.159257945	0.047975356	0	5.20E-07	0.00506235	0	0.003305206	0.002415034	0	0.000371758	0	0	0	0	0	0	0.003965924	0.280842582	0	0	0.058260563	0.016769616	0.000128843	0	0	0.00049621	0	0
GTEX.132NY.1226.SM.5PNVF	0.099543899	0.175353206	0	0	0	0	0	0	0	0	0	0	0	0	0.160942464	0.051611107	0	0	0.014407226	0	0.024884123	0.011710401	0	0	0	0	0	0	0	0	0	0.261689685	0	0.078485184	0.087100093	0.028662419	0.005610192	0	0	0	0	0
GTEX.132QS.0726.SM.5IJE9	0.009285161	0.146798789	0.000280034	0	0	0	0	0	0	0	0	0	0	0.000688184	0.209092054	0.125503019	0	0	0.011020372	0	0.003192024	0.006949903	0	7.73E-05	0	0	0	0	0	0	0.006564977	0.292561147	0	0	0.147133824	0.016294209	0.020875969	0	0.002554541	0.000409799	0	0.000718656
GTEX.1339X.0626.SM.5IJER	0.027006666	0.226141438	0	0	0	0	0	0	0	0	0	0	0	0.001297725	0.359232129	0.00168249	0	0	0.009681142	0	0.001514468	0.000707902	0	0.000404691	0	0	6.77E-05	0.030880085	0.000126168	0	0.007750647	0.224701407	0	4.80E-05	0.05066385	0.039122193	0.006811786	0	0.012064482	9.50E-05	0	0
GTEX.133LE.0526.SM.5N9EJ	0.027680537	0.155312222	0.02057388	0	0	0	0	0	0	0	0	0	0	0.04466522	0.332984413	0.017597725	0	0	0.013108605	0	0.005190956	0.001346709	0	0.00176466	0	0	0	0.004604533	0	0	0.02119469	0.190265851	0	0.004120889	0.101569956	0.043237329	0.004896503	0	0.009474244	0.000411078	0	0
GTEX.1399S.1726.SM.5L3DI	0.054580604	0.206560406	0.017029669	0	0	0	0	0	0	0	0	0	0	0	0.383068253	0	0	0	0.044632757	0	0.001805259	0.006744238	0	0	0	0	0	0	0	0	0.007264696	0.117911924	0	0.001506584	0.134323857	0.02269971	0	0	0.001139599	0.000732443	0	0
GTEX.1399U.0826.SM.5KM1P	0.014490602	0.17515956	0.006588341	0	0	0	0	0	0	0	0	0	0	0.000879367	0.256637758	0.010484722	0	0.000587224	0.041295329	0	0.00157003	0.005955716	0	0	0	0	0	0	0	0	0.034393014	0.352160091	0	0.000201543	0.072124656	0.017858808	0.008900599	0	5.57E-05	0.000656976	0	0
GTEX.139T6.0426.SM.5IJEM	0.019213845	0.196609442	0	0	0	0	0	0	0	0	0	0	0	0	0.376731662	0.021094575	0	0	0.011856061	0	0.002078436	0.013152352	0	0.000649427	0	0	0	0	0	0	0.000403211	0.231210799	0	0.006086477	0.074884574	0.039749156	0.003657411	0	0.002568605	5.40E-05	0	0
GTEX.139TT.0726.SM.5K7XW	0.050743198	0.283352568	0.001762151	0	0	0	0	0	0	0	0	0	0	0	0.165711488	0.046274929	0	0	0	0	0.002791196	0	0	0	0	0	0	0	0	0	0	0.374883807	0	0.01081275	0.041169063	0.012953042	0.003758463	0	0	0	0.005787347	0
GTEX.139UW.0226.SM.5K7WU	0.083392039	0.137573053	0.014441315	0	0	0	0	0	0	0	0	0	0.022851764	0	0.192849883	0.045886212	0	0	0.002668615	0	0.002682588	0.002803955	0	0	0	0	0	0	0	0	0	0.349558396	0	0.014305293	0.067625842	0.01919659	0.003581995	0	0	0.000530286	0.040052173	0
GTEX.139YR.0926.SM.5LZYB	0.117757753	0.163637241	0	0	0	0	0	0	0	0	0	0	0	0	0.277689396	0.014225833	0	0	0.001111339	0	0.001080435	0.014033218	0	0.007989866	0	0	0	0	0	0	0	0.219226176	0	0.025278105	0.091796717	0.038292912	0.016562759	0	0.009484381	0.001202006	0.000631863	0
GTEX.13CF3.0426.SM.5IJEU	0.011710362	0.19913613	0	0	0	0	0	0	0	0	0	0	0.00018926	0.014704354	0.416223489	0.002953774	0	0	0.004517434	0	0.002318787	0.013388443	0	0.010903133	0	0	0	0.001993487	0	0	0.006529977	0.188423586	0	0.020993745	0.036580447	0.055183595	0.004143099	0	0.006936057	0.001921365	0.001249475	0
GTEX.13D11.0326.SM.5LZXX	0.002545421	0.234353966	0	0	0	0	0	0	0	0	0	0	0	0	0.200493597	0.108068716	0	0	0.0056733	0	0.00615597	0.015949912	0	0	0	0	0	0	0	0	0.020308835	0.238654691	0	0.009915155	0.113686907	0.038211111	0.000769438	0	0.003164206	0.002048773	0	0
GTEX.13FH7.1726.SM.5IJE7	0.005760177	0.172172606	0	0	0	0	0	0	0	0	0	0	0	0.002764621	0.34204014	0.100926544	0	0	0.006305901	0	0.002182358	0.010259582	0	0	0	0	0	0	0	0	0.035189143	0.153095709	0	0.066150994	0.058200115	0.02947337	0.000490364	0	0.013766356	0.00122202	0	0
GTEX.13FHO.1026.SM.5KM1Q	0.030082939	0.211106663	0.01254686	0	0	0	0	0	0	0	0	0	0.042191406	0.035686192	0.205487295	0.070704223	0	0	0	0	0.011559015	0	0	0.003885447	0	0	0	0.003417267	0	0	0.003041583	0.31750204	0	0	0.02973767	0.020976269	0	0	0.001966243	0.000108887	0	0
GTEX.13FHP.0726.SM.5K7YI	0.183474446	0.084409134	0.004425435	0	0	0	0	0	0	0	0	0	0	0.042426681	0.191912826	0.024355832	0	0	0	0	0.004628175	0	0	0	0	0	0	0	0	0	0	0.350063074	0	0.031139547	0.076058284	0.007086362	0	0	0	2.02E-05	0	0
GTEX.13FLV.0426.SM.5KLZA	0.14828002	0.238226079	0.000920261	0	0	0	0	0	0	0	0	0	0	0.001199532	0.126674345	0.000793878	0	0	0.00196663	0	0.002244446	0.001182784	0	0	0	0	0	0	0	0	0.0001111	0.400609299	0	0.039497917	0.008940028	0.005964765	0.023379185	0	0	9.73E-06	0	0
GTEX.13FTX.0326.SM.5J2NG	0.024221718	0.184650839	0	0	0	0	0	0	0	0	0	0	0	0	0.308435924	0.061710894	0	0	0.061335956	0	0.000175135	0.004697872	0	0	0	0	0	0	0	0	0.026441604	0.184542168	0	0.008057019	0.110858251	0.024872622	0	0	0	0	0	0
GTEX.13FTY.0126.SM.5J2NZ	0.089929329	0.238289927	0.030621118	0	0	0	0	0	0	0	0	0	0	0	0.127885507	0.071779489	0	0.000532273	0.00089722	0	0.004180014	0.000446919	0	0	0	0	0	0	0	0	0.013516553	0.259996638	0	0.048955774	0.047729199	0.020559933	0.011676608	0	0	0.00015983	0.032843669	0
